# Dicionario de Abreviaturas — IR 14-06, Art. 32 a 35
# Fonte: MD33-M-02, Manual de Abreviaturas, Siglas, Simbolos e Convencoes
#        Cartograficas das Forcas Armadas, 3a Edicao/2008, Capitulo IV.
# Gerado por scripts/governanca/extrair_abreviaturas_md33.py — nao editar a mao.
# inicial_conjunto: MD33-M-02, 3.1.9 — abreviavel por essa inicial quando em conjunto.
# A abreviatura NAO e chave unica: 3.1.17 preve duplicidade de simbologia.
abreviatura,termo,sinonimos,termo_completo,inicial_conjunto,somente_conjunto,origem
L Reu,Linha de Reunião,,Linha de Reunião,,,MD33-M-02
LSAA,Linha de Segurança de Apoio de Artilharia,,Linha de Segurança de Apoio de Artilharia,,,MD33-M-02
LS Nuc,Linha de Segurança Nuclear,,Linha de Segurança Nuclear,,,MD33-M-02
L Trnf Rspnl,Linha de Transferência de Responsabilidade,,Linha de Transferência de Responsabilidade,,,MD33-M-02
L Vtr,Linha de Viaturas,,Linha de Viaturas,,,MD33-M-02
LV,Linha de Vigilância,,Linha de Vigilância,,,MD33-M-02
L Vsda,Linha de Visada,,Linha de Visada,,,MD33-M-02
LFC,Linha Final de Coordenação,,Linha Final de Coordenação,,,MD33-M-02
LLAF,Linha Limite de Apoio de Fogo,,Linha Limite de Apoio de Fogo,,,MD33-M-02
LLE,Linha Limite de Escurecimento,,Linha Limite de Escurecimento,,,MD33-M-02
LLP,Linha Limite de Progressão,,Linha Limite de Progressão,,,MD33-M-02
LMIP,Linha Máxima de Interceptação Possível,,Linha Máxima de Interceptação Possível,,,MD33-M-02
LMID,Linha Mínima de Interceptação Desejada,,Linha Mínima de Interceptação Desejada,,,MD33-M-02
L Pcp,Linha Principal,,Linha Principal,,,MD33-M-02
LPR,Linha Principal de Resistência,,Linha Principal de Resistência,,,MD33-M-02
LPS,Linha Principal de Suprimentos,,Linha Principal de Suprimentos,,,MD33-M-02
LPCD,Linha Privada de Comunicação de Dados,,Linha Privada de Comunicação de Dados,,,MD33-M-02
LPD,Linha Provável de Desenvolvimento,,Linha Provável de Desenvolvimento,,,MD33-M-02
Liq,Líquido,,Líquido (L),L,,MD33-M-02
L,Lista,,Lista,,sim,MD33-M-02
JTL,Lista Combinada de Objetivo (Joint Target List),,Lista Combinada de Objetivo (Joint Target List),,,MD33-M-02
JITL,Lista Combinada Integrada de Objetivo (Joint Integrated Target List),,Lista Combinada Integrada de Objetivo (Joint Integrated Target List),,,MD33-M-02
JIPTL,Lista Combinada Integrada Priorizada de Objetivo (Joint Integrated Priority/Set Target List),,Lista Combinada Integrada Priorizada de Objetivo (Joint Integrated Priority/Set Target List),,,MD33-M-02
L Aces,Lista de Acesso,,Lista de Acesso,,,MD33-M-02
LE Autz,Lista de Estoque Autorizado,,Lista de Estoque Autorizado,,,MD33-M-02
LI Dot,Lista de Itens de Dotação,,Lista de Itens de Dotação,,,MD33-M-02
HVTL,Lista de Objetivo de Alto Valor Operacional (High Value Target List),,Lista de Objetivo de Alto Valor Operacional (High Value Target List),,,MD33-M-02
NSL,Lista de Objetivo Proibido (No Strike List),,Lista de Objetivo Proibido (No Strike List),,,MD33-M-02
RTL,Lista de Objetivo Restrito (Restricted Target List),,Lista de Objetivo Restrito (Restricted Target List),,,MD33-M-02
LVA,Lista de Verificação Anual,,Lista de Verificação Anual,,,MD33-M-02
L Pdr,Lista Padrão,,Lista Padrão,,,MD33-M-02
PTL,Lista Priorizada de Objetivos (Prioritized Target List),,Lista Priorizada de Objetivos (Prioritized Target List),,,MD33-M-02
Liv,Livrar,Livre,"Livrar, Livre (L)",L,,MD33-M-02
LRA,Livro de Registro de Aeronaves,,Livro de Registro de Aeronaves,,,MD33-M-02
Loc Q Op,Locador do Quadro de Operações,,Locador do Quadro de Operações,,,MD33-M-02
Loc Dbq,Local de Desembarque,,Local de Desembarque,,,MD33-M-02
LDH,Local de Desembarque de Helicóptero,,Local de Desembarque de Helicóptero,,,MD33-M-02
LDS,Local de Destino Seguro,,Local de Destino Seguro,,,MD33-M-02
LDSI,Local de Destino Seguro Intermediário,,Local de Destino Seguro Intermediário,,,MD33-M-02
LPH,Local de Pouso de Helicóptero,,Local de Pouso de Helicóptero,,,MD33-M-02
L Reo,Local de Reorganização,,Local de Reorganização,,,MD33-M-02
Loc,Local,Localização;Localidade;Locar;Localizar;Locação;Localizador;Locador,"Local, Localização, Localidade, Locar, Localizar, Locação, Localizador, Locador",,,MD33-M-02
Log,Logística,,Logística,,,MD33-M-02
Long,Longitude,,Longitude,,,MD33-M-02
Lot,Lotar,Lotação;Lotado;Lote;Loteamento,"Lotar, Lotação, Lotado, Lote, Loteamento",,,MD33-M-02
Lot R,Loteamento de Rações,,Loteamento de Rações,,,MD33-M-02
Lub,Lubrificar,Lubrificação;Lubrificante,"Lubrificar, Lubrificação, Lubrificante",,,MD33-M-02
Mg,Magnético,Magnetizar;Magnetizador;Magnetizável,"Magnético, Magnetizar, Magnetizador (M), Magnetizável",M,,MD33-M-02
Mlt,Malote,,Malote,,,MD33-M-02
Mnbd,Maneabilidade,,Maneabilidade,,,MD33-M-02
Mnj,Manejo,Manejar;Manejável,"Manejo, Manejar, Manejável",,,MD33-M-02
MCU,Manifesto de Carga da Unidade,,Manifesto de Carga da Unidade,,,MD33-M-02
Mnp,Manipulador,Manipular;Manipulável,"Manipulador, Manipular, Manipulável",,,MD33-M-02
ACM,Manobra de Combate Aéreo (Air Combat Maneuver),,Manobra de Combate Aéreo (Air Combat Maneuver),,,MD33-M-02
Man C,Manobra na Carta,,Manobra na Carta,,,MD33-M-02
Man,Manobrar,Manobra,"Manobrar, Manobra (M)",M,,MD33-M-02
MS,Manobras e Sinais,,Manobras e Sinais,,,MD33-M-02
Mntn,Mantenedor,,Mantenedor,,,MD33-M-02
Mnt,Manter,Manutenção,"Manter, Manutenção",,,MD33-M-02
Mnl,Manual,,Manual (M),M,,MD33-M-02
MGQ,Manual de Garantia de Qualidade,,Manual de Garantia de Qualidade,,,MD33-M-02
MPH,Manual de Procedimentos para Homologação,,Manual de Procedimentos para Homologação,,,MD33-M-02
MO,Mão-de-Obra,,Mão-de-Obra,,,MD33-M-02
HOTAS,Mãos no Manete e no Manche (Hands On Throttle And Stick),,Mãos no Manete e no Manche (Hands On Throttle And Stick),,,MD33-M-02
Mp,Mapa,Mapear,"Mapa (M), Mapear",M,,MD33-M-02
Mp F,Mapa da Força,,Mapa da Força,,,MD33-M-02
MCTS,Mapa de Cômputo de Tempo de Serviço,,Mapa de Cômputo de Tempo de Serviço,,,MD33-M-02
Maq,Máquina,Maquinário;Maquinista,"Máquina, Maquinário, Maquinista",,,MD33-M-02
M Mg,Marcação Magnética,,Marcação Magnética,,,MD33-M-02
MP,Marcação Polar,,Marcação Polar,,,MD33-M-02
MR,Marcação Relativa,,Marcação Relativa,,,MD33-M-02
MV,Marcação Verdadeira,,Marcação Verdadeira,,,MD33-M-02
Mrc,Marcação,Marcador;Marcar,"Marcação, Marcador, Marcar (M)",M,,MD33-M-02
M Adm,Marcha Administrativa,,Marcha Administrativa,,,MD33-M-02
M Aprx,Marcha de Aproximação,,Marcha de Aproximação,,,MD33-M-02
M Cmb,Marcha para o Combate,,Marcha para o Combate,,,MD33-M-02
M Esc,Marcha por Escalões,,Marcha por Escalões,,,MD33-M-02
M Tat,Marcha Tática,,Marcha Tática,,,MD33-M-02
Mrch,Marcha,Marchar;Marchador,"Marcha, Marchar, Marchador (M)",M,,MD33-M-02
Mrg,Margem,Marginal;Margear,"Margem, Marginal, Margear",,,MD33-M-02
MB,Marinha do Brasil,,Marinha do Brasil,,,MD33-M-02
Mar,Marinha,Marítimo,"Marinha, Marítimo (M)",M,,MD33-M-02
MP,Martelete Pneumático,,Martelete Pneumático,,,MD33-M-02
Masc C Gas,Máscara Contra Gases,,Máscara Contra Gases,,,MD33-M-02
Masc,Máscara,Mascaramento;Mascarar,"Máscara, Mascaramento, Mascarar",,,MD33-M-02
Ms,Massa,,Massa,,,MD33-M-02
Mat,Matéria,Material;Materializar,"Matéria, Material, Materializar (M)",M,,MD33-M-02
MCE,Material de Comunicações e Eletrônica,,Material de Comunicações e Eletrônica,,,MD33-M-02
MEM,Material de Emprego Militar,,Material de Emprego Militar,,,MD33-M-02
Mat M,Material Militar,,Material Militar,,,MD33-M-02
Mtcl,Matricular,Matrícula,"Matricular, Matrícula",,,MD33-M-02
Mtz,Matriz,,Matriz,,,MD33-M-02
Max,Máxima,Maximizar,"Máxima, Maximizar",,,MD33-M-02
Mec T,Mecânica de Tempo,,Mecânica de Tempo,,,MD33-M-02
MV,Mecânico de Vôo,,Mecânico de Vôo,,,MD33-M-02
Mec,Mecânico,Mecanizado;Mecanizar,"Mecânico, Mecanizado, Mecanizar (M)",M,,MD33-M-02
Medl,Medalha,,Medalha,,,MD33-M-02
Me,Média,,Média (M),M,,MD33-M-02
MF,Média Final,,Média Final,,,MD33-M-02
Md,Mediana,,Mediana,,,MD33-M-02
Mdt O,Mediante Ordem,,Mediante Ordem,,,MD33-M-02
Mto,Medicamento,,Medicamento,,,MD33-M-02
Med,Medicina,Médico;Medicar,"Medicina, Médico, Medicar",,,MD33-M-02
Mdd,Medida,,Medida (M),M,,MD33-M-02
MAGE,Medida de Apoio a Guerra Eletrônica,,Medida de Apoio a Guerra Eletrônica,,,MD33-M-02
MAE,Medida de Ataque Eletrônico,,Medida de Ataque Eletrônico,,,MD33-M-02
MIR,Medida de Interferência de Radar,,Medida de Interferência de Radar,,,MD33-M-02
MPE,Medida de Proteção Eletrônica,,Medida de Proteção Eletrônica,,,MD33-M-02
M Avrg,Medidas de Averiguação,,Medidas de Averiguação,,,MD33-M-02
MCS,Medidas de Controle no Solo,,Medidas de Controle no Solo,,,MD33-M-02
MCCEA,Medidas de Coordenação e Controle do Espaço Aéreo,,Medidas de Coordenação e Controle do Espaço Aéreo,,,MD33-M-02
MPEA,Medidas de Policiamento do Espaço Aéreo,,Medidas de Policiamento do Espaço Aéreo,,,MD33-M-02
MOPP,Medidas Operacionais de Proteção Preventiva,,Medidas Operacionais de Proteção Preventiva,,,MD33-M-02
Mt,Megaton,,Megaton,,,MD33-M-02
ACM,Meio de Coordenação do Espaço Aéreo (Airspace Control Means),,Meio de Coordenação do Espaço Aéreo (Airspace Control Means),,,MD33-M-02
Mlh,Melhorar,Melhoria;Melhoramento,"Melhorar, Melhoria, Melhoramento",,,MD33-M-02
MOU,Memorando de Entendimento (Memorandum of Understanding),,Memorando de Entendimento (Memorandum of Understanding),,,MD33-M-02
RAM,Memória de acesso aleatório (Random Access Memory),,Memória de acesso aleatório (Random Access Memory),,,MD33-M-02
EPROM,Memória PROM apagável (Erasable PROM),,Memória PROM apagável (Erasable PROM),,,MD33-M-02
ROM,Memória somente para leitura (Read Only Memory),,Memória somente para leitura (Read Only Memory),,,MD33-M-02
Memo,Memória,Memorando,"Memória, Memorando",,,MD33-M-02
Menc,Mencionar,Mencionável,"Mencionar, Mencionável",,,MD33-M-02
MN,Mensageiro,,Mensageiro,,,MD33-M-02
Msg,Mensagem,,Mensagem,,,MD33-M-02
ATM,Mensagem de Acionamento de Missão (Air Task Message),,Mensagem de Acionamento de Missão (Air Task Message),,,MD33-M-02
MCEA,Mensagem de Coordenação de Espaço Aéreo,,Mensagem de Coordenação de Espaço Aéreo,,,MD33-M-02
SOS,Mensagem de Pedido de Socorro (Save Our Souls),,Mensagem de Pedido de Socorro (Save Our Souls),,,MD33-M-02
MSVH,Mensagem de Segurança de Vida Humana,,Mensagem de Segurança de Vida Humana,,,MD33-M-02
MSNM,Mensagem de Segurança Nacional ou Militar,,Mensagem de Segurança Nacional ou Militar,,,MD33-M-02
MS,Mensagem de Serviço,,Mensagem de Serviço,,,MD33-M-02
PFM,Mensagem Pré-programada de Vôo (Pre-Flight Message),,Mensagem Pré-programada de Vôo (Pre-Flight Message),,,MD33-M-02
MPV,Mensagem Programada de Vôo,,Mensagem Programada de Vôo,,,MD33-M-02
OPTASK,Mensagens padronizadas de tarefa operacional (Operation Tasking),,Mensagens padronizadas de tarefa operacional (Operation Tasking),,,MD33-M-02
Mens,Mensal,Mensalmente;Mensalidade,"Mensal, Mensalmente, Mensalidade (M)",M,,MD33-M-02
Merc,Mercante,Mercado;Mercadoria;Mercador,"Mercante, Mercado, Mercadoria, Mercador",,,MD33-M-02
Merec,Merecimento,Merecer;Merecedor,"Merecimento, Merecer, Merecedor",,,MD33-M-02
Merg,Mergulhar,Mergulho;Mergulhador,"Mergulhar, Mergulho, Mergulhador",,,MD33-M-02
Mrto,Mérito,,Mérito,,,MD33-M-02
MS,Mestre de Salto,,Mestre de Salto,,,MD33-M-02
Meteo,Meteorologia,Meteorológica;Meteorologista,"Meteorologia, Meteorológica, Meteorologista (M)",M,,MD33-M-02
Mtd,Método,Metodizar;Metodologia,"Método, Metodizar, Metodologia",,,MD33-M-02
Mtr,Metralhadora,Metralhador,"Metralhadora, Metralhador",,,MD33-M-02
M Ond,Microondas,,Microondas,,,MD33-M-02
Mls,Milésimo,,Milésimo,,,MD33-M-02
Mil,Militar,,Militar (M),M,,MD33-M-02
Min D,Mina à Deriva,,Mina à Deriva,,,MD33-M-02
Min F,Mina de Fundeio,,Mina de Fundeio,,,MD33-M-02
Min S,Mina Submarina,,Mina Submarina,,,MD33-M-02
Min T,Mina Terrestre,,Mina Terrestre,,,MD33-M-02
Min,Mina,Minagem;Mineiro;Minar,"Mina, Minagem, Mineiro, Minar (M)",M,,MD33-M-02
Mini,Mínimo,Minimizar,"Mínimo, Minimizar",,,MD33-M-02
MD,Ministério da Defesa,,Ministério da Defesa,,,MD33-M-02
MF,Ministério da Fazenda,,Ministério da Fazenda,,,MD33-M-02
MRE,Ministério das Relações Exteriores,,Ministério das Relações Exteriores,,,MD33-M-02
MPOG,"Ministério do Planejamento, Orçamento e Gestão",,"Ministério do Planejamento, Orçamento e Gestão",,,MD33-M-02
MP,Ministério Público,,Ministério Público,,,MD33-M-02
MPM,Ministério Público Militar,,Ministério Público Militar,,,MD33-M-02
Min,Ministério,Ministro;Ministrar,"Ministério, Ministro, Ministrar (M)",M,,MD33-M-02
Min Def,Ministro da Defesa,,Ministro da Defesa,,,MD33-M-02
Misc,Miscelânea,,Miscelânea,,,MD33-M-02
Mi,Misericórdia,Misericordioso,"Misericórdia, Misericordioso",,,MD33-M-02
Mis,Missão,Missionário,"Missão (M), Missionário",M,,MD33-M-02
Mis F,Missão de Fogo,,Missão de Fogo,,,MD33-M-02
MIE,Missão de Interceptação e Escolta,,Missão de Interceptação e Escolta,,,MD33-M-02
M Mi,Missão de Misericórdia,,Missão de Misericórdia,,,MD33-M-02
M Trm,Missão de Treinamento,,Missão de Treinamento,,,MD33-M-02
Msl,Míssil,,Míssil (M),M,,MD33-M-02
MA Ae Ptt,Míssil Antiaéreo Portátil,,Míssil Antiaéreo Portátil,,,MD33-M-02
MAC,Míssil Anticarro,,Míssil Anticarro,,,MD33-M-02
ATBM,Míssil Anti-míssil Balístico Tático (Anti-Tactical Balistic Missile),,Míssil Anti-míssil Balístico Tático (Anti-Tactical Balistic Missile),,,MD33-M-02
MAR,Míssil Anti-radiação,,Míssil Anti-radiação,,,MD33-M-02
ARM,Míssil Anti-radiação (Anti-Radiation Missile),,Míssil Anti-radiação (Anti-Radiation Missile),,,MD33-M-02
HARM,Míssil Anti-radiação de Alta Velocidade (High-speed Anti- Radiation Missile),,Míssil Anti-radiação de Alta Velocidade (High-speed Anti- Radiation Missile),,,MD33-M-02
ALARM,Míssil Anti-radiação Lançado de Aeronave (Air-Launched Anti- Radiation Missile),,Míssil Anti-radiação Lançado de Aeronave (Air-Launched Anti- Radiation Missile),,,MD33-M-02
MAA,Míssil Ar-Ar,,Míssil Ar-Ar,,,MD33-M-02
MAS,Míssil Ar-Superfície,,Míssil Ar-Superfície,,,MD33-M-02
ASRAAM,Míssil Avançado ar-ar de Alcance Curto (Advanced Short Range Air-to-air Missile),,Míssil Avançado ar-ar de Alcance Curto (Advanced Short Range Air-to-air Missile),,,MD33-M-02
AMRAAM,Míssil Avançado ar-ar de Alcance Médio (Advanced Medium Range Air-to-air Missile),,Míssil Avançado ar-ar de Alcance Médio (Advanced Medium Range Air-to-air Missile),,,MD33-M-02
ABM,Míssil Balístico Anti-míssil (Anti-ballistic Missile),,Míssil Balístico Anti-míssil (Anti-ballistic Missile),,,MD33-M-02
IRBM,Míssil Balístico de Alcance Intermediário (Intermediate Range Ballistic Missile),,Míssil Balístico de Alcance Intermediário (Intermediate Range Ballistic Missile),,,MD33-M-02
MMRBM,Míssil Balístico de Alcance Médio de Base Móvel (Móbile Medium Range Ballistic Missile),,Míssil Balístico de Alcance Médio de Base Móvel (Móbile Medium Range Ballistic Missile),,,MD33-M-02
SRBM,Míssil Balístico de Curto Alcance (Short Range Ballistic Missile),,Míssil Balístico de Curto Alcance (Short Range Ballistic Missile),,,MD33-M-02
MRBM,Míssil Balístico de Médio Alcance (Medium Range Ballistic Missile),,Míssil Balístico de Médio Alcance (Medium Range Ballistic Missile),,,MD33-M-02
ICBM,Míssil Balístico Intercontinental (Intercontinental Ballistic Missile),,Míssil Balístico Intercontinental (Intercontinental Ballistic Missile),,,MD33-M-02
MICBM,Míssil Balístico Intercontinental de Base Móvel (Móbile Intercontinental Ballistic Missile),,Míssil Balístico Intercontinental de Base Móvel (Móbile Intercontinental Ballistic Missile),,,MD33-M-02
SICBM,Míssil Balístico Intercontinental de Pequeno Porte (Small Intercontinental Ballistic Missile),,Míssil Balístico Intercontinental de Pequeno Porte (Small Intercontinental Ballistic Missile),,,MD33-M-02
SLBM,Míssil Balístico Lançado de Submarino (Submarine Lauched Ballistic Missile),,Míssil Balístico Lançado de Submarino (Submarine Lauched Ballistic Missile),,,MD33-M-02
TCBM,Míssil Balístico Transcontinental (Transcontinental Ballistic Missile),,Míssil Balístico Transcontinental (Transcontinental Ballistic Missile),,,MD33-M-02
SRAM,Míssil de Ataque de Curto Alcance (Short Range Attack Missile),,Míssil de Ataque de Curto Alcance (Short Range Attack Missile),,,MD33-M-02
ASCM,Míssil de Cruzeiro Antinavio (Anti-ship Cruise Missile),,Míssil de Cruzeiro Antinavio (Anti-ship Cruise Missile),,,MD33-M-02
MDL,Míssil Dirigido Leve,,Míssil Dirigido Leve,,,MD33-M-02
MDM,Míssil Dirigido Médio,,Míssil Dirigido Médio,,,MD33-M-02
MDP,Míssil Dirigido Pesado,,Míssil Dirigido Pesado,,,MD33-M-02
AGM,Míssil Guiado do Ar (Air Guided Missile),,Míssil Guiado do Ar (Air Guided Missile),,,MD33-M-02
MLG,Míssil Livre Grande,,Míssil Livre Grande,,,MD33-M-02
MLP,Míssil Livre Pequeno,,Míssil Livre Pequeno,,,MD33-M-02
M Sub Sub,Míssil Submarino-Submarino,,Míssil Submarino-Submarino,,,MD33-M-02
M Sub Spf,Míssil Submarino-Superfície,,Míssil Submarino-Superfície,,,MD33-M-02
M Spf Sub,Míssil Superfície-Submarino,,Míssil Superfície-Submarino,,,MD33-M-02
M Spf Spf,Míssil Superfície-Superfície,,Míssil Superfície-Superfície,,,MD33-M-02
Ms,Misto,Misturar;Misturador,"Misto, Misturar, Misturador",,,MD33-M-02
Mbld,Mobilidade,,Mobilidade,,,MD33-M-02
MCP,"Mobilidade, Contramobilidade e Proteção",,"Mobilidade, Contramobilidade e Proteção",,,MD33-M-02
Mob,Mobilizar,Mobilizador;Mobilização;Mobilizável,"Mobilizar, Mobilizador, Mobilização, Mobilizável",,,MD33-M-02
Mdl,Modelo,Modelagem;Modelar;Modelador;Modelável,"Modelo (M), Modelagem, Modelar, Modelador, Modelável",M,,MD33-M-02
Md,Modem,,Modem,,,MD33-M-02
Mod,Modificar,Modificação;Modificável,"Modificar, Modificação, Modificável",,,MD33-M-02
Mod Cbt,Módulo de Combate,,Módulo de Combate,,,MD33-M-02
Modul,Módulo,Modular;Modulador;Modulação,"Módulo, Modular, Modulador, Modulação",,,MD33-M-02
M,Monitor,,Monitor,,sim,MD33-M-02
Mon,Monitor,Monitorar;Monitorizar,"Monitor, Monitorar (M), Monitorizar",M,,MD33-M-02
1M,Monomotor,,Monomotor,,,MD33-M-02
Mth,Montanha,Montanhismo;Montanhista,"Montanha, Montanhismo, Montanhista",,,MD33-M-02
Mont,Montar,Montagem;Montaria;Montador,"Montar, Montagem, Montaria, Montador",,,MD33-M-02
Mnto,Monumento,,Monumento,,,MD33-M-02
Mrd,Moradia,,Moradia,,,MD33-M-02
Mrt,Morteiro,,Morteiro,,,MD33-M-02
Mrt L,Morteiro Leve,,Morteiro Leve,,,MD33-M-02
Mrt P,Morteiro Pesado,,Morteiro Pesado,,,MD33-M-02
Mrt Q,Morteiro Químico,,Morteiro Químico,,,MD33-M-02
Mor,Morto,,Morto,,,MD33-M-02
Mor A,Morto em Ação,,Morto em Ação,,,MD33-M-02
Mtv,Motivar,Motivo;Motivação;Motivador,"Motivar, Motivo, Motivação, Motivador",,,MD33-M-02
Mcl,Motocicleta,Motociclista,"Motocicleta, Motociclista",,,MD33-M-02
Mni,Motoniveladora,,Motoniveladora,,,MD33-M-02
Mo,Motor,,Motor,,,MD33-M-02
MP,Motor de Popa,,Motor de Popa,,,MD33-M-02
Mot,Motorista,,Motorista,,,MD33-M-02
Mtz,Motorizado,,Motorizado,,,MD33-M-02
Mscp,Motoscraper,,Motoscraper,,,MD33-M-02
Mv,Móvel,,Móvel,,,MD33-M-02
Mov,Movimentar,Movimentação;Movimento,"Movimentar, Movimentação, Movimento (M)",M,,MD33-M-02
MNT,Movimento Navio-para-Terra,,Movimento Navio-para-Terra,,,MD33-M-02
Mud,Mudança,Mudar,"Mudança, Mudar",,,MD33-M-02
M Cn,Multicanal,,Multicanal,,,MD33-M-02
M Cn Cb,Multicanal Cabo,,Multicanal Cabo,,,MD33-M-02
M Cn Rad,Multicanal Rádio,,Multicanal Rádio,,,MD33-M-02
M Mo,Multimotor,,Multimotor,,,MD33-M-02
Mux,Multiplex,,Multiplex,,,MD33-M-02
Mult M,Multiplicador de Marchas,,Multiplicador de Marchas,,,MD33-M-02
Mult,Múltiplo,Multiplicar;Multiplicador,"Múltiplo, Multiplicar, Multiplicador (M)",M,,MD33-M-02
Mun,Munição,Municiamento;Municiar,"Munição, Municiamento, Municiar (M)",M,,MD33-M-02
Mcp,Município,Municipal,"Município, Municipal",,,MD33-M-02
M,Mural,,Mural,,sim,MD33-M-02
M,Museu,,Museu,,sim,MD33-M-02
Mus,Música,Músico;Musical,"Música, Músico, Musical",,,MD33-M-02
Mt,Mútuo,,Mútuo,,,MD33-M-02
Nac,Nacional,Nação;Nacionalizar,"Nacional, Nação (N), Nacionalizar",N,,MD33-M-02
N,Não,,Não,,sim,MD33-M-02
N Cg,Não Carregar,,Não Carregar,,,MD33-M-02
N End ou XMT,Não Endereçado a,,Não Endereçado a,,,MD33-M-02
N Nuc,Não Nuclear,,Não Nuclear,,,MD33-M-02
NO,Não Observado,,Não Observado,,,MD33-M-02
N Pdr,Não Padronizado,,Não Padronizado,,,MD33-M-02
NR,Não Regulamentar,,Não Regulamentar,,,MD33-M-02
N Stf,Não Satisfatório,,Não Satisfatório,,,MD33-M-02
NV,Não Visto,,Não Visto,,,MD33-M-02
Nasc,Nascimento,Nascer,"Nascimento, Nascer",,,MD33-M-02
Nat,Natural,Natureza;Naturalizar,"Natural, Natureza, Naturalizar",,,MD33-M-02
Naut,Náutico,,Náutico,,,MD33-M-02
Nav,Naval,Navegação;Navio;Navegar;Navegar;Navegável,"Naval, Navegação, Navio, Navegar (N), Navegar, Navegável",N,,MD33-M-02
NBA,Navegação a Baixa Altura,,Navegação a Baixa Altura,,,MD33-M-02
NBV,Navegação em Baixa Visibilidade,,Navegação em Baixa Visibilidade,,,MD33-M-02
NOE,Navegação entre Obstáculos (Nap of the Earth),,Navegação entre Obstáculos (Nap of the Earth),,,MD33-M-02
NACC,Navio Auxiliar de Controle Central,,Navio Auxiliar de Controle Central,,,MD33-M-02
NCM,Navio Caça-Minas,,Navio Caça-Minas,,,MD33-M-02
N Abst,Navio de Abastecimento,,Navio de Abastecimento,,,MD33-M-02
N Ap,Navio de Apoio,,Navio de Apoio,,,MD33-M-02
N Ap F,Navio de Apoio de Fogo,,Navio de Apoio de Fogo,,,MD33-M-02
N Ap FF,Navio de Apoio de Fogo com Foguetes,,Navio de Apoio de Fogo com Foguetes,,,MD33-M-02
N Ap Flu,Navio de Apoio Fluvial,,Navio de Apoio Fluvial,,,MD33-M-02
N Ap Log,Navio de Apoio Logístico,,Navio de Apoio Logístico,,,MD33-M-02
N Ap Log Flu,Navio de Apoio Logístico Fluvial,,Navio de Apoio Logístico Fluvial,,,MD33-M-02
N Ap M,Navio de Apoio Múltiplo,,Navio de Apoio Múltiplo,,,MD33-M-02
N Ap Oc,Navio de Apoio Oceanográfico,,Navio de Apoio Oceanográfico,,,MD33-M-02
NA Anf,Navio de Assalto Anfíbio,,Navio de Assalto Anfíbio,,,MD33-M-02
NAsH,Navio de Assistência Hospitalar,,Navio de Assistência Hospitalar,,,MD33-M-02
NC Com,Navio de Comando e Comunicações,,Navio de Comando e Comunicações,,,MD33-M-02
NC,Navio de Controle,,Navio de Controle,,,MD33-M-02
NCC,Navio de Controle Central,,Navio de Controle Central,,,MD33-M-02
NCAM,Navio de Controle de Área Marítima,,Navio de Controle de Área Marítima,,,MD33-M-02
NCP,Navio de Controle Principal,,Navio de Controle Principal,,,MD33-M-02
NCS,Navio de Controle Secundário,,Navio de Controle Secundário,,,MD33-M-02
ND,Navio de Desembarque,,Navio de Desembarque,,,MD33-M-02
NDCC,Navio de Desembarque de Carros de Combate,,Navio de Desembarque de Carros de Combate,,,MD33-M-02
NDCCH,Navio de Desembarque de Carros de Combate-Hospital,,Navio de Desembarque de Carros de Combate-Hospital,,,MD33-M-02
ND Flu,Navio de Desembarque Fluvial,,Navio de Desembarque Fluvial,,,MD33-M-02
NDMLF,Navio de Desembarque Médio Lança-Foguetes,,Navio de Desembarque Médio Lança-Foguetes,,,MD33-M-02
NDD,Navio de Desembarque-Doca,,Navio de Desembarque-Doca,,,MD33-M-02
NDDH,Navio de Desembarque-Doca Hospital,,Navio de Desembarque-Doca Hospital,,,MD33-M-02
NDDPH,Navio de Desembarque-Doca Porta-Helicópteros,,Navio de Desembarque-Doca Porta-Helicópteros,,,MD33-M-02
N Pro,Navio de Provisões,,Navio de Provisões,,,MD33-M-02
NRM,Navio de Reabastecimento Múltiplo,,Navio de Reabastecimento Múltiplo,,,MD33-M-02
NRTB,Navio de Recebimento e Tratamento de Baixas,,Navio de Recebimento e Tratamento de Baixas,,,MD33-M-02
N Rep Av,Navio de Reparo de Aviação,,Navio de Reparo de Aviação,,,MD33-M-02
N Slv,Navio de Salvamento,,Navio de Salvamento,,,MD33-M-02
N Slv Esq,Navio de Salvamento de Esquadra,,Navio de Salvamento de Esquadra,,,MD33-M-02
N Slv P,Navio de Salvamento de Porto,,Navio de Salvamento de Porto,,,MD33-M-02
N Scr S,Navio de Socorro de Submarino,,Navio de Socorro de Submarino,,,MD33-M-02
NDRA,Navio Demarcador de Raia de Aproximação,,Navio Demarcador de Raia de Aproximação,,,MD33-M-02
NF,Navio Faroleiro,,Navio Faroleiro,,,MD33-M-02
N Ho,Navio Hidroceanográfico,,Navio Hidroceanográfico,,,MD33-M-02
N Hi,Navio Hidrográfico,,Navio Hidrográfico,,,MD33-M-02
N Merc,Navio Mercante,,Navio Mercante,,,MD33-M-02
N Min,Navio Mineiro,,Navio Mineiro,,,MD33-M-02
NML,Navio Mineiro Ligeiro,,Navio Mineiro Ligeiro,,,MD33-M-02
NMV,Navio Mineiro Varredor,,Navio Mineiro Varredor,,,MD33-M-02
