# Dicionario de Abreviaturas — IR 14-06, Art. 32 a 35
# Fonte: MD33-M-02, Manual de Abreviaturas, Siglas, Simbolos e Convencoes
#        Cartograficas das Forcas Armadas, 3a Edicao/2008, Capitulo IV.
# Gerado por scripts/governanca/extrair_abreviaturas_md33.py — nao editar a mao.
# inicial_conjunto: MD33-M-02, 3.1.9 — abreviavel por essa inicial quando em conjunto.
# A abreviatura NAO e chave unica: 3.1.17 preve duplicidade de simbologia.
abreviatura,termo,sinonimos,termo_completo,inicial_conjunto,somente_conjunto,origem
Aj CCAO,Ajudante de Controlador de Circulação Aérea Operacional,,Ajudante de Controlador de Circulação Aérea Operacional,,,MD33-M-02
Aj CI,Ajudante de Controlador de Interceptação,,Ajudante de Controlador de Interceptação,,,MD33-M-02
Aj ODM,Ajudante de Operador de Disponibilidade de Meios,,Ajudante de Operador de Disponibilidade de Meios,,,MD33-M-02
Aj SDA,Ajudante de Supervisor de Defesa Aeroespacial,,Ajudante de Supervisor de Defesa Aeroespacial,,,MD33-M-02
Aj SDAP,Ajudante de Supervisor de Defesa Aeroespacial Passiva,,Ajudante de Supervisor de Defesa Aeroespacial Passiva,,,MD33-M-02
Aj SRDA,Ajudante de Supervisor de Região de Defesa Aeroespacial,,Ajudante de Supervisor de Região de Defesa Aeroespacial,,,MD33-M-02
Aj,Ajudante,Ajudar;Ajudância,"Ajudante, Ajudar, Ajudância",,,MD33-M-02
Ajust,Ajustar,Ajustagem;Ajuste;Ajustador;Ajustável,"Ajustar, Ajustagem, Ajuste, Ajustador, Ajustável",,,MD33-M-02
AEW,Alarme Aéreo Antecipado (Airborne Early Warning),,Alarme Aéreo Antecipado (Airborne Early Warning),,,MD33-M-02
Alm D Aepc,Alarme da Defesa Aeroespacial,,Alarme da Defesa Aeroespacial,,,MD33-M-02
Alm D Aepc Pas,Alarme de Defesa Aeroespacial Passiva,,Alarme de Defesa Aeroespacial Passiva,,,MD33-M-02
Alm,Alarme,Alarmar;Alarmante,"Alarme, Alarmar, Alarmante",,,MD33-M-02
A,Alça,,Alça,,sim,MD33-M-02
Alc,Alcançar,Alcance;Alcançável,"Alcançar, Alcance, Alcançável",,,MD33-M-02
RVR,Alcance Visual da Pista (Runway Visual Range),,Alcance Visual da Pista (Runway Visual Range),,,MD33-M-02
Alcl,Álcool,Alcoolizar,"Álcool, Alcoolizar",,,MD33-M-02
BVR,Além do Alcance Visual (Beyond Visual Range),,Além do Alcance Visual (Beyond Visual Range),,,MD33-M-02
Alr,Alerta,Alertar,"Alerta, Alertar",,,MD33-M-02
Ald,Aliado,,Aliado,,,MD33-M-02
Aln,Alienação,Alienar;Alienável;Alienador,"Alienação, Alienar, Alienável, Alienador",,,MD33-M-02
Alj,Alijamento,Alijar;Alijável,"Alijamento, Alijar, Alijável",,,MD33-M-02
Almt,Alimentar,Alimento;Alimentação;Alimentador;Alimentício,"Alimentar, Alimento, Alimentação, Alimentador, Alimentício",,,MD33-M-02
Alist,Alistar,Alistamento;Alistador;Alistável,"Alistar, Alistamento, Alistador, Alistável",,,MD33-M-02
Almq,Almanaque,,Almanaque,,,MD33-M-02
Almo,Almoço,Almoçar,"Almoço, Almoçar",,,MD33-M-02
Almx,Almoxarife,Almoxarifado,"Almoxarife, Almoxarifado",,,MD33-M-02
Aloc A,Alocador de Armas,,Alocador de Armas,,,MD33-M-02
Aloc,Alocar,Alocador,"Alocar, Alocador",,,MD33-M-02
Aljt,Alojamento,,Alojamento,,,MD33-M-02
AADA,Alta Autoridade de Defesa Aeroespacial,,Alta Autoridade de Defesa Aeroespacial,,,MD33-M-02
HF,Alta Freqüência (High Frequency),,Alta Freqüência (High Frequency),,,MD33-M-02
Al,Alta,Alto,"Alta, Alto (A)",A,,MD33-M-02
AP,Alteração de Proa,,Alteração de Proa,,,MD33-M-02
Alt,Alteração,Alterar;Alterador;Alterável,"Alteração, Alterar, Alterador, Alterável",,,MD33-M-02
Altn,Alternativa (o),Alternar;Alternador,"Alternativa (o), Alternar, Alternador",,,MD33-M-02
Altm,Altimetria,,Altimetria,,,MD33-M-02
Alti,Altitude,,Altitude,,,MD33-M-02
AMS,Altitude Mínima de Setor,,Altitude Mínima de Setor,,,MD33-M-02
AE,Alto Explosivo,,Alto Explosivo,,,MD33-M-02
A Gd,Alto Guardado,,Alto Guardado,,,MD33-M-02
ABBA,Alto-Baixo-Baixo-Alto,,Alto-Baixo-Baixo-Alto,,,MD33-M-02
AC,Alto-cúmulo,,Alto-cúmulo,,,MD33-M-02
AS,Alto-estrato (Alto-stratus),,Alto-estrato (Alto-stratus),,,MD33-M-02
Altu,Altura,,Altura,,,MD33-M-02
Altu L,Altura de Lançamento,,Altura de Lançamento,,,MD33-M-02
Alu,Aluno,,Aluno,,,MD33-M-02
A,Alvo,,Alvo,,sim,MD33-M-02
AA,Alvo Auxiliar,,Alvo Auxiliar,,,MD33-M-02
Am,Amarela,,Amarela,,,MD33-M-02
Amr,Amarrar,Amarração;Amarrador,"Amarrar, Amarração, Amarrador",,,MD33-M-02
Amz,Amazônia,,Amazônia,,,MD33-M-02
Ambi,Ambiente,Ambientar;Ambiental,"Ambiente, Ambientar, Ambiental",,,MD33-M-02
Amb,Ambulância,,Ambulância (A),A,,MD33-M-02
Ambt,Ambulatório,,Ambulatório,,,MD33-M-02
Amg,Ameaça,Ameaçar;Ameaçador Amç Amiga,"Ameaça, Ameaçar, Ameaçador Amç Amiga",,,MD33-M-02
Ampl,Ampliação,Amplitude;Ampliar;Ampliador;Ampliável,"Ampliação, Amplitude, Ampliar, Ampliador, Ampliável",,,MD33-M-02
AM,Amplitude Modulada,,Amplitude Modulada,,,MD33-M-02
Anl,Analisar,Analisável;Análise;Analista,"Analisar, Analisável, Análise, Analista (A)",A,,MD33-M-02
Anc,Ancoragem,Ancorar;Ancoradouro,"Ancoragem, Ancorar, Ancoradouro",,,MD33-M-02
And,Andamento,,Andamento,,,MD33-M-02
An,Anexar,Anexo,"Anexar, Anexo",,,MD33-M-02
Anf,Anfíbio,,Anfíbio (A),A,,MD33-M-02
Ang,Angular,Ângulo,"Angular, Ângulo (A)",A,,MD33-M-02
A At,Ângulo de Ataque,,Ângulo de Ataque,,,MD33-M-02
AV,Ângulo de Vigilância,,Ângulo de Vigilância,,,MD33-M-02
Ani,Animal,,Animal,,,MD33-M-02
Aniv,Aniversário,Aniversariar;Aniversariante,"Aniversário, Aniversariar, Aniversariante",,,MD33-M-02
Atgn,Antagonismo,Antagonizar;Antagonista,"Antagonismo, Antagonizar, Antagonista",,,MD33-M-02
Atcd,Antecedência,Anteceder;Antecedente,"Antecedência, Anteceder, Antecedente",,,MD33-M-02
Atcp,Antecipar,Antecipável,"Antecipar, Antecipável",,,MD33-M-02
Ant,Antena,,Antena,,,MD33-M-02
Antr,Anterior,Anteriormente;Anterioridade,"Anterior, Anteriormente, Anterioridade",,,MD33-M-02
A,Anti,,Anti,,sim,MD33-M-02
A Ae,Antiaéreo,,Antiaéreo,,,MD33-M-02
AC,Anticarro,,Anticarro,,,MD33-M-02
A Crp,Anticorpo,,Anticorpo,,,MD33-M-02
Antg,Antigo,Antiguidade,"Antigo, Antiguidade",,,MD33-M-02
A Mec,Antimecanizado,,Antimecanizado,,,MD33-M-02
Ap,Antipessoal,,Antipessoal,,,MD33-M-02
AS,Anti-submarino,,Anti-submarino,,,MD33-M-02
A Spf,Anti-superfície,,Anti-superfície,,,MD33-M-02
Anul,Anulação,Anular;Anulador;Anulável,"Anulação, Anular, Anulador, Anulável",,,MD33-M-02
Anc,Anúncio,Anunciador;Anunciar;Anunciável,"Anúncio, Anunciador, Anunciar, Anunciável",,,MD33-M-02
Apd,Apêndice,,Apêndice,,,MD33-M-02
Aperf,Aperfeiçoamento,Aperfeiçoar;Aperfeiçoador;Aperfeiçoável,"Aperfeiçoamento, Aperfeiçoar (A), Aperfeiçoador, Aperfeiçoável",A,,MD33-M-02
Apl,Aplicação,Aplicar;Aplicador;Aplicável,"Aplicação, Aplicar, Aplicador, Aplicável",,,MD33-M-02
ACPH,Apoio Cerrado Previsto a Horário,,Apoio Cerrado Previsto a Horário,,,MD33-M-02
AFN,Apoio de Fogo Naval,,Apoio de Fogo Naval,,,MD33-M-02
Ap M,Apoio Mútuo,,Apoio Mútuo,,,MD33-M-02
Ap P,Apoio Pesado,,Apoio Pesado,,,MD33-M-02
